time,open,close,high,low,volume
1364774820000,93.25,93.3,93.3,93.25,93.3
1364774880000,100.0,100.0,100.0,100.0,93.3
1364774940000,93.3,93.3,93.3,93.3,33.67686227
1364775060000,93.35,93.47,93.47,93.35,20.0
1364775120000,93.47,93.47,93.47,93.47,2.02162704
1364775180000,93.03001,93.03,93.03001,93.03,4.9854
1364775960000,93.04399,93.04399,93.04399,93.04399,12.68950068
1364776080000,93.34999,93.35,93.35,93.34999,5.0
1364776500000,93.19999,93.35,93.35,93.19999,40.0
1364777580000,93.25,93.3,93.3,93.25,18.3
1364777640000,93.1,93.1,93.1,93.1,22.31049932
1364778000000,93.37999,93.37999,93.37999,93.37999,0.13540256
1364778360000,93.38001,93.37999,93.38001,93.37999,3.40909091
1364778420000,93.37999,93.37999,93.37999,93.37999,5.10909076
1364778660000,93.48001,93.37999,93.48001,93.37999,3.98273394
1364778720000,93.48001,93.48797,93.48797,93.2,9.81440658
1364778780000,93.48797,93.48797,93.48797,93.48797,1.05988303
1364779380000,93.4847,93.4847,93.4847,93.4847,16.06
1364779680000,93.40001,93.40001,93.40001,93.40001,3.4
1364780160000,93.10001,93.1,93.10001,93.1,2.27272727
1364781900000,93.17,93.17,93.17,93.17,0.6276
1364782080000,93.16999,93.29,93.29,93.16999,10.0
1364783220000,93.10999,93.10999,93.10999,93.10999,0.43382
1364783760000,93.24,93.24,93.24,93.24,1.25
1364783880000,93.478,93.5,93.5,93.478,200.0
1364784000000,93.5,93.5,93.5,93.5,200.0
1364784060000,93.5,93.5,93.5,93.5,30.0
1364784180000,93.53001,93.64,94.0,93.53001,12.0
